School Name (ULCS),Street Address,City,State,Coordinates,Zip Code,ULCS Code,Councilmanic District & Rep,Year Built,School Type,Managed,Planning Area,Police District,Total # of Students,Facility Condition Index [FCI],Condition Assessment Cost [CAC],Replacement Cost [CRV],American Indian/Alaskan Native (Not Hispanic) - Count,American Indian/Alaskan Native (Not Hispanic) - Percentage,Asian (not Hispanic) - Count,Asian (not Hispanic) - Percentage,Black/African American (not Hispanic) - Count,Black/African American (not Hispanic) - Percentage,Hispanic (any race) - Count,Hispanic (any race) - Percentage,Multi-Race/Two or more races (not Hispanic) - Count,Multi-Race/Two or more races (not Hispanic) - Percentage,Native Hawaiian or other Pacific Islander (not Hispanic) - Count,Native Hawaiian or other Pacific Islander (not Hispanic) - Percentage,White (not Hispanic) - Count,White (not Hispanic) - Percentage,CEP Economically Disadvantaged Rate,Sq. Ft. (Building),Sq. Ft. (Site),Sq. Ft. (Footprint),Capacity,# Floors,Special Needs - Count,Special Needs - Percentage,Avg Daily Attendance,10+ Absences
"CLEMENTE, ROBERTO MIDDLE SCHL",122 W. ERIE AVE.,PHILADELPHIA,PA,"-75.12946,40.006096",19140,7730,7- Q-S,1994,Middle School,District,North-Central,25th District,449,0.09,7378883,79622730,,,,,146,33%,283,63%,,,,,,,100%,232815,267440,87832,1512,3,98,22%,90%,58%
"LINCOLN, ABRAHAM HIGH SCHOOL",3201 RYAN AVE.,PHILADELPHIA,PA,"-75.042777,40.04382",19136,8010,6 - Henon,2009,High School,District,Northeast,15th District,1570,0,0,103741295,,,75,5%,633,40%,378,24%,71,5%,,,410,26%,100%,292229,1708317,221693,1586,,399,25%,82%,68%
NORTHEAST HIGH SCHOOL,1601 COTTMAN AVE.,PHILADELPHIA,PA,"-75.071199,40.056187",19111,8020,10-O'Neill,1957,High School,District,Northeast,2nd District,3151,0.75,82332242,110155080,,,669,21%,955,30%,731,23%,204,6%,,,583,19%,90%,310296,540560,204188,2167,3,352,11%,88%,57%
"WASHINGTON, GEORGE HIGH SCHOOL",10175 BUSTLETON AVE.,PHILADELPHIA,PA,"-75.025309,40.106162",19116,8030,10-O'Neill,1963,High School,District,Northeast,7th District,1760,0.194,23810376,122830000,,,189,11%,635,36%,202,11%,67,4%,,,665,38%,85%,346000,496835,201405,2765,3,361,21%,87%,61%
ARTS ACADEMY AT BENJAMIN RUSH,11081 KNIGHTS RD.,PHILADELPHIA,PA,"-74.973988,40.082703",19154,8040,10-O'Neill,1968,High School,District,Northeast,8th District,613,0.55,33565142,61610250,,,31,5%,131,21%,85,14%,41,7%,,,323,53%,55%,173550,412677,120512,1169,2,58,9%,94%,43%
SWENSON ARTS/TECH HIGH SCHOOL,2750 RED LION RD.,PHILADELPHIA,PA,"-75.013967,40.092034",19114,8090,10-O'Neill,1976,High School,District,Northeast,8th District,637,0.4,24153288,61032310,,,41,6%,202,32%,157,25%,,,,,225,35%,85%,171922,440803,123564,875,2,137,22%,92%,53%
"WILSON, WOODROW MIDDLE SCHOOL",1800 COTTMAN AVE.,PHILADELPHIA,PA,"-75.069149,40.052379",19111,8120,7- Q-S,1928,Middle School,District,Northeast,2nd District,1190,0.75,35672996,47709000,,,240,20%,398,33%,262,22%,108,9%,,,177,15%,100%,139500,146397,53083,1239,4,138,12%,93%,39%
"MEEHAN, AUSTIN MIDDLE SCHOOL",3001 RYAN AVE.,PHILADELPHIA,PA,"-75.044297,40.045799",19152,8140,6 - Henon,1970,Middle School,District,Northeast,15th District,538,0.641,44714887,69799806,,,28,5%,205,38%,98,18%,44,8%,,,163,30%,100%,204093,560379,93823,1533,2,115,21%,92%,50%
BALDI MIDDLE SCHOOL,8801 VERREE RD.,PHILADELPHIA,PA,"-75.052527,40.091245",19115,8160,10-O'Neill,1971,Middle School,District,Northeast,7th District,1296,0.41,26168658,63308646,,,284,22%,190,15%,115,9%,85,7%,,,616,48%,70%,185113,1164249,102976,1302,2,176,14%,94%,35%
"HANCOCK, JOHN SCHOOL",3700 MORRELL AVE.,PHILADELPHIA,PA,"-74.988989,40.067423",19114,8180,10-O'Neill,1968,Elementary School,District,Northeast,8th District,513,0.677,14827616,21912000,,,,,40,8%,40,8%,77,15%,,,337,66%,69%,66000,169359,42793,537,1,97,19%,95%,32%
"ALLEN, ETHAN SCHOOL",6329 BATTERSBY ST.,PHILADELPHIA,PA,"-75.061689,40.029722",19149,8200,6 - Henon,1930,Elementary School,District,Northeast,15th District,987,0.239,5808068,22072024,,,126,13%,336,34%,268,27%,119,12%,,,132,13%,100%,66482,119159,20698,656,3,103,10%,93%,42%
"BROWN, JOSEPH H. SCHOOL",3600 STANWOOD ST.,PHILADELPHIA,PA,"-75.024744,40.043359",19136,8210,6 - Henon,1937,Elementary School,District,Northeast,8th District,571,0.71,12881720,18134836,,,25,4%,164,29%,86,15%,80,14%,,,215,38%,100%,54623,86693,19874,517,3,79,14%,93%,46%
"CROSSAN, KENNEDY C. SCHOOL",7350 BINGHAM ST.,PHILADELPHIA,PA,"-75.081382,40.062156",19111,8230,10-O'Neill,1924,Elementary School,District,Northeast,2nd District,377,1.22,12319720,10102096,,,28,7%,103,27%,63,17%,49,13%,,,129,34%,90%,30428,34865,14141,278,2,35,9%,95%,36%
"DISSTON, HAMILTON SCHOOL",6801 COTTAGE ST.,PHILADELPHIA,PA,"-75.046763,40.028267",19135,8240,6 - Henon,1924,Elementary School,District,Northeast,15th District,881,1.06,23925209,22523544,,,24,3%,284,32%,245,28%,109,12%,,,215,24%,100%,67842,67392,20531,636,3,106,12%,92%,51%
"FORREST, EDWIN SCHOOL",7300 COTTAGE ST.,PHILADELPHIA,PA,"-75.036067,40.034641",19136,8250,6 - Henon,1929,Elementary School,District,Northeast,15th District,1185,0.86,18118213,20999000,,,35,3%,357,30%,276,23%,164,14%,,,350,30%,100%,63250,135926,21969,696,3,117,10%,94%,41%
FOX CHASE SCHOOL,500 RHAWN ST.,PHILADELPHIA,PA,"-75.08054,40.074556",19111,8260,10-O'Neill,1949,Elementary School,District,Northeast,2nd District,492,1,18200596,17430000,,,35,7%,106,22%,69,14%,70,14%,,,209,42%,74%,52500,447961,26852,556,3,50,10%,95%,31%
"HOLME, THOMAS SCHOOL",9120 ACADEMY RD.,PHILADELPHIA,PA,"-75.009463,40.05504",19114,8270,10-O'Neill,1950,Elementary School,District,Northeast,8th District,541,0.993,24066120,24236000,,,51,9%,141,26%,81,15%,79,15%,,,189,35%,100%,73000,240216,34385,795,2,88,16%,92%,45%
MAYFAIR SCHOOL,3001 PRINCETON AVE.,PHILADELPHIA,PA,"-75.051888,40.039321",19149,8300,6 - Henon,1949,Elementary School,District,Northeast,15th District,1243,0.94,22441920,23904000,,,263,21%,165,13%,260,21%,120,10%,,,433,35%,91%,72000,239787,47121,576,2,122,10%,95%,33%
"MOORE, J. HAMPTON SCHOOL",6900 SUMMERDALE AVE.,PHILADELPHIA,PA,"-75.076965,40.049174",19111,8310,7- Q-S,1952,Elementary School,District,Northeast,2nd District,1196,0.39,9077766,22476732,,,202,17%,418,35%,283,24%,147,12%,,,141,12%,100%,67701,244481,39766,755,2,116,10%,95%,31%
"LABRUM,GEN HARRY MIDDLE SCHOOL",10800 HAWLEY RD.,PHILADELPHIA,PA,"-74.987846,40.080694",19154,8320,10-O'Neill,1974,Middle School,District,Northeast,8th District,228,0.33,5149339,15219000,,,,,23,10%,37,16%,,,,,144,63%,82%,44500,101509,30066,420,2,80,35%,93%,46%
"SOLIS-COHEN, SOLOMON SCHOOL",7001 HORROCKS ST.,PHILADELPHIA,PA,"-75.065422,40.044755",19149,8340,6 - Henon,1948,Elementary School,District,Northeast,2nd District,1368,0.76,22916781,30212000,,,290,21%,312,23%,394,29%,170,12%,,,191,14%,100%,91000,564969,79392,974,2,138,10%,95%,35%
"SPRUANCE, GILBERT SCHOOL",6401 HORROCKS ST.,PHILADELPHIA,PA,"-75.072602,40.037165",19149,8350,6 - Henon,1949,Elementary School,District,Northeast,2nd District,1461,0.69,23253382,33911476,,,186,13%,582,40%,393,27%,162,11%,,,134,9%,100%,102143,280857,63441,835,2,162,11%,95%,33%
RHAWNHURST SCHOOL,7809 CASTOR AVE.,PHILADELPHIA,PA,"-75.057751,40.058539",19152,8360,7- Q-S,1949,Elementary School,District,Northeast,2nd District,618,0.65,9879211,15272000,,,161,26%,120,19%,116,19%,83,13%,,,134,22%,97%,46000,330120,37547,417,2,37,6%,96%,22%
"COMLY, WATSON SCHOOL",1001 BYBERRY RD.,PHILADELPHIA,PA,"-75.009142,40.120918",19116,8370,10-O'Neill,1929,Elementary School,District,Northeast,7th District,487,0.8,14484619,11634940,,,53,11%,67,14%,40,8%,58,12%,,,266,55%,66%,35045,237065,37523,457,2,56,11%,95%,34%
"FARRELL, LOUIS H. SCHOOL",8300 CASTOR AVE.,PHILADELPHIA,PA,"-75.052445,40.066559",19152,8380,7- Q-S,1959,Elementary School,District,Northeast,7th District,1097,0.53,12200885,22038824,,,135,12%,178,16%,172,16%,201,18%,,,405,37%,95%,66382,163377,32238,755,3,136,12%,95%,32%
"FITZPATRICK, A. L. SCHOOL",11061 KNIGHTS RD.,PHILADELPHIA,PA,"-74.976628,40.080407",19154,8390,10-O'Neill,1960,Elementary School,District,Northeast,8th District,881,0.69,19640899,28402600,,,39,4%,165,19%,95,11%,99,11%,,,482,55%,78%,85550,233161,27532,815,4,128,15%,93%,41%
"FRANK, ANNE SCHOOL",2000 BOWLER ST.,PHILADELPHIA,PA,"-75.028431,40.087927",19115,8400,10-O'Neill,1962,Elementary School,District,Northeast,7th District,1240,0.594,14691579,24734000,,,277,22%,199,16%,117,9%,143,12%,,,498,40%,77%,74500,251376,33885,676,1,57,5%,96%,28%
"POLLOCK, ROBERT B. SCHOOL",2850 WELSH RD.,PHILADELPHIA,PA,"-75.027067,40.059522",19152,8410,6 - Henon,1962,Elementary School,District,Northeast,8th District,737,0.5,12458380,24236000,,,90,12%,270,37%,95,13%,100,14%,,,177,24%,83%,73000,323301,43928,696,2,89,12%,95%,34%
"DECATUR, STEPHEN SCHOOL",3500 ACADEMY RD.,PHILADELPHIA,PA,"-74.970678,40.095591",19154,8420,6 - Henon,1964,Elementary School,District,Northeast,8th District,1030,0.64,18900445,29630004,,,55,5%,158,15%,96,9%,125,12%,,,595,58%,66%,89247,215404,37065,954,3,131,13%,94%,39%
"GREENBERG, JOSEPH SCHOOL",600 SHARON LN.,PHILADELPHIA,PA,"-75.057447,40.095671",19115,8430,10-O'Neill,1964,Elementary School,District,Northeast,7th District,738,0.477,14254544,29880000,,,171,23%,93,13%,36,5%,73,10%,,,361,49%,37%,90000,155754,34074,755,3,110,15%,96%,19%
"LOESCHE, WILLIAM H. SCHOOL",595 TOMLINSON RD.,PHILADELPHIA,PA,"-75.023575,40.114184",19116,8440,10-O'Neill,1965,Elementary School,District,Northeast,7th District,782,0.63,18354780,29216000,,,140,18%,65,8%,49,6%,95,12%,,,428,55%,82%,88000,341969,73219,934,2,72,9%,94%,36%
THE WORKSHOP SCHOOL,221 S. HANSON ST.,PHILADELPHIA,PA,"-75.218553,39.955306",19139,8560,UNKNOWN,UNKNOWN,UNKNOWN,District,,,207,UNKNOWN,UNKNOWN,,,,,,185,89%,,,,,,,,,100%,,,,,,31,15%,,
PHILADELPHIA VIRTUAL ACADEMY,440 N. BROAD ST.,PHILADELPHIA,PA,"-75.162782,39.961024",19130,8780,UNKNOWN,UNKNOWN,UNKNOWN,District,,,311,UNKNOWN,UNKNOWN,,,,,,210,68%,44,14%,,,,,40,13%,100%,,,,,,27,9%,,
