School Name (ULCS),Street Address,City,State,Coordinates,Zip Code,ULCS Code,Councilmanic District & Rep,Year Built,School Type,Managed,Planning Area,Police District,Total # of Students,Facility Condition Index [FCI],Condition Assessment Cost [CAC],Replacement Cost [CRV],American Indian/Alaskan Native (Not Hispanic) - Count,American Indian/Alaskan Native (Not Hispanic) - Percentage,Asian (not Hispanic) - Count,Asian (not Hispanic) - Percentage,Black/African American (not Hispanic) - Count,Black/African American (not Hispanic) - Percentage,Hispanic (any race) - Count,Hispanic (any race) - Percentage,Multi-Race/Two or more races (not Hispanic) - Count,Multi-Race/Two or more races (not Hispanic) - Percentage,Native Hawaiian or other Pacific Islander (not Hispanic) - Count,Native Hawaiian or other Pacific Islander (not Hispanic) - Percentage,White (not Hispanic) - Count,White (not Hispanic) - Percentage,CEP Economically Disadvantaged Rate,Sq. Ft. (Building),Sq. Ft. (Site),Sq. Ft. (Footprint),Capacity,# Floors,Special Needs - Count,Special Needs - Percentage,Avg Daily Attendance,10+ Absences
STRAWBERRY MANSION HIGH SCHOOL,3133 RIDGE AVE.,PHILADELPHIA,PA,"-75.184147,39.990303",19121,4140,5 - Clarke,1964,High School,District,North-Central,22nd District,394,0.57,50317464,88395000,,,,,387,98%,,,,,,,,,100%,249000,195163,86184,1762,5,134,34%,72%,85%
"BLAINE, JAMES G. SCHOOL",3001 W. BERKS ST.,PHILADELPHIA,PA,"-75.183519,39.985397",19121,4220,5 - Clarke,1966,Elementary School,District,North-Central,22nd District,509,0.55,16053538,29321244,,,,,440,86%,,,50,10%,,,,,100%,88317,116092,36616,775,3,120,24%,92%,49%
"CASSIDY,LEWIS C ACADEMICS PLUS",6523 LANSDOWNE AVE.,PHILADELPHIA,PA,"-75.250695,39.975156",19151,4240,4 - Jones Jr.,1924,Elementary School,District,West,19th District,530,0.82,16151714,19628836,,,,,483,91%,,,29,5%,,,,,100%,59123,84017,21096,656,3,60,11%,93%,38%
"DICK, WILLIAM SCHOOL",2498 W. DIAMOND ST.,PHILADELPHIA,PA,"-75.173646,39.986614",19121,4270,5 - Clarke,1954,Elementary School,District,North-Central,22nd District,549,0.54,12779191,23572000,,,,,516,94%,,,23,4%,,,,,100%,71000,136688,29386,596,3,85,15%,94%,35%
"GOMPERS, SAMUEL SCHOOL",5701 WYNNEFIELD AVE.,PHILADELPHIA,PA,"-75.238136,39.992724",19131,4280,4 - Jones Jr.,1950,Elementary School,District,West,19th District,388,0.83,15408798,18592000,,,,,293,76%,,,62,16%,,,,,100%,56000,219265,47539,537,2,62,16%,93%,44%
"HESTON, EDWARD SCHOOL",1621 N. 54TH ST.,PHILADELPHIA,PA,"-75.22931,39.977747",19131,4300,3 - Blackwell,1970,Elementary School,District,West,19th District,475,0.63,17154924,27104480,,,,,447,94%,,,,,,,,,100%,81640,142022,40354,636,3,51,11%,91%,56%
"LAMBERTON,ROBERT E ELEMENTARY",7501 WOODBINE AVE.,PHILADELPHIA,PA,"-75.26703,39.975666",19151,4320,4 - Jones Jr.,1949,Elementary School,District,West,19th District,576,0.6,22051212,36584076,,,,,506,88%,,,49,9%,,,,,100%,110193,242371,48845,1084,2,107,19%,96%,25%
RHODES ELEMENTARY SCHOOL,2900 W. CLEARFIELD ST.,PHILADELPHIA,PA,"-75.17836,40.002447",19132,4350,4 - Jones Jr.,1971,Middle School,District,,,576,0.24,14.5,,,,,,528,92%,,,39,7%,,,,,100%,,,,,,96,17%,,
OVERBROOK ELEMENTARY SCHOOL,2032 N. 62ND ST.,PHILADELPHIA,PA,"-75.245752,39.981747",19151,4370,4 - Jones Jr.,1907,Elementary School,District,West,19th District,238,0.7,7176164,10292000,,,,,219,92%,,,,,,,,,100%,31000,55675,13405,437,2,,,94%,32%
"PEIRCE, THOMAS M. SCHOOL",2300 W. CAMBRIA ST.,PHILADELPHIA,PA,"-75.168218,39.998415",19132,4380,8 - Bass,1908,Elementary School,District,North-Central,39th District,472,0.53,11003377,20584000,,,,,449,95%,,,,,,,,,100%,62000,46199,20424,656,3,37,8%,92%,52%
