248,Chester A. Arthur School,ALL GRADES,100%,,,
249,Laura W. Waring School,ALL GRADES,100%,,,
251,Andrew Jackson School,ALL GRADES,100%,,,
252,Abram S. Jenks School,ALL GRADES,95%,,,
254,Francis S. Key School,ALL GRADES,100%,,,
258,Eliza B. Kirkbride School,ALL GRADES,92%,,,
259,George W. Nebinger School,ALL GRADES,100%,,,
262,Academy at Palumbo,ALL GRADES,89%,,,
263,George W. Sharswood School,ALL GRADES,100%,,,
264,Southwark School,ALL GRADES,100%,,,
265,Science Leadership Academy,ALL GRADES,44%,,,
267,Constitution High School,ALL GRADES,98%,,,
268,The Science Leadership Academy at Beeber,ALL GRADES,68%,,,
269,John H. Taggart School,ALL GRADES,100%,,,
272,Vare-Washington School,ALL GRADES,100%,,,
402,Overbrook High School,ALL GRADES,100%,,,
403,High School of Engineering and Science,ALL GRADES,70%,,,
406,Murrell Dobbins Career and Technical High School,ALL GRADES,100%,,,
410,Dimner Beeber School,ALL GRADES,100%,,,
414,Strawberry Mansion High School,ALL GRADES,100%,,,
422,James G. Blaine School,ALL GRADES,100%,,,
424,Lewis C. Cassidy Academics Plus School,ALL GRADES,100%,,,
427,William Dick School,ALL GRADES,100%,,,
428,Samuel Gompers School,ALL GRADES,100%,,,
430,Edward Heston School,ALL GRADES,100%,,,
432,Robert E. Lamberton School,ALL GRADES,100%,,,
435,E. Washington Rhodes School,ALL GRADES,100%,,,
437,Overbrook School,ALL GRADES,100%,,,
438,Thomas M. Peirce School,ALL GRADES,100%,,,
444,Dr. Ethel Allen School,ALL GRADES,100%,,,
446,Tanner G. Duckrey School,ALL GRADES,100%,,,
447,Richard R. Wright School,ALL GRADES,100%,,,
448,Overbrook Educational Center,ALL GRADES,85%,,,
453,Edward Gideon School,ALL GRADES,100%,,,
456,William D. Kelley School,ALL GRADES,100%,,,
457,General George G. Meade School,ALL GRADES,100%,,,
502,Thomas A. Edison High School,ALL GRADES,100%,,,
505,Philadelphia Military Academy,ALL GRADES,100%,,,
506,Jules E. Mastbaum Area Vocational Technical High School,ALL GRADES,100%,,,
507,Parkway Northwest High School,ALL GRADES,90%,,,
508,Parkway Center City High School,ALL GRADES,100%,,,
509,Parkway West High School,ALL GRADES,100%,,,
515,William W. Bodine High School,ALL GRADES,94%,,,
516,Penn Treaty High School,ALL GRADES,100%,,,
517,Julia de Burgos School,ALL GRADES,100%,,,
520,Alexander Adaire School,ALL GRADES,100%,,,
521,Henry A. Brown School,ALL GRADES,100%,,,
523,Russell H. Conwell School,ALL GRADES,100%,,,
525,Paul L. Dunbar School,ALL GRADES,100%,,,
526,Lewis Elkin School,ALL GRADES,100%,,,
530,Horatio B. Hackett School,ALL GRADES,100%,,,
532,John F. Hartranft School,ALL GRADES,100%,,,
533,William H. Hunter School,ALL GRADES,100%,,,
534,James R. Ludlow School,ALL GRADES,100%,,,
535,William McKinley School,ALL GRADES,100%,,,
537,John Moffet School,ALL GRADES,100%,,,
539,Potter-Thomas School,ALL GRADES,100%,,,
540,Richmond School,ALL GRADES,100%,,,
541,Isaac A. Sheppard School,ALL GRADES,100%,,,
